Index,Title,URL,Time
179,SixtyFPS v0.0.6 GUI Toolkit: Now with IDE Support,https://sixtyfps.io/blog/v0.0.6-now-with-ide-support,2021-04-28 10:00:19
180,Annotated PyTorch implementations of various deep learning normalization layers,https://nn.labml.ai/normalization/index.html,2021-04-28 10:00:15
181,Study shows class bias in hiring based on few seconds of speech,https://news.yale.edu/2019/10/21/yale-study-shows-class-bias-hiring-based-few-seconds-speech,2021-04-28 10:00:10
182,"Casbin: An authorization library that supports authz models like ACL, RBAC, ABAC",https://github.com/casbin/casbin,2021-04-28 09:01:10
183,Enabling the WSL to include support for Wayland and X server related scenarios,https://github.com/microsoft/wslg,2021-04-28 09:01:04
184,Google Pressured on Racial Equity Audit After AI Ethics Collapse,https://www.bloomberg.com/news/articles/2021-04-27/google-pressured-on-racial-equity-audit-after-ai-ethics-collapse,2021-04-28 09:00:58
185,Deep Time study: French volunteers leave cave after 40 days in isolation,https://www.bbc.com/news/world-europe-56875801,2021-04-28 09:00:53
186,Farming robot kills 100k weeds per hour with lasers,https://www.freethink.com/articles/farming-robot,2021-04-28 09:00:40
187,Cheerleader’s Snapchat rant leads to ‘momentous’ Supreme Court case on speech,https://www.washingtonpost.com/politics/courts_law/supreme-court-cheerleader-first-amendment/2021/04/25/9d2ac1e2-9eb7-11eb-b7a8-014b14aeb9e4_story.html,2021-04-28 09:00:33
188,SixtyFPS v0.0.6 GUI Toolkit: Now with IDE Support,https://sixtyfps.io/blog/v0.0.6-now-with-ide-support,2021-04-28 09:00:21
189,Study shows class bias in hiring based on few seconds of speech,https://news.yale.edu/2019/10/21/yale-study-shows-class-bias-hiring-based-few-seconds-speech,2021-04-28 09:00:11
190,Cheerleader’s Snapchat rant leads to ‘momentous’ Supreme Court case on speech,https://www.washingtonpost.com/politics/courts_law/supreme-court-cheerleader-first-amendment/2021/04/25/9d2ac1e2-9eb7-11eb-b7a8-014b14aeb9e4_story.html,2021-04-28 08:00:34
191,Tool can make photos undetectable to facial recognition without ruining them,https://www.dailydot.com/debug/donotpay-photo-ninja-facial-recognition/,2021-04-28 08:00:29
192,Apple to Ban Apps That Reward Users for Enabling App Tracking,https://www.macrumors.com/2021/04/27/apple-ban-apps-offer-rewards-for-att/,2021-04-28 08:00:23
193,Why AI is harder than we think,https://arxiv.org/abs/2104.12871,2021-04-28 08:00:12
194,Probing Deep Space with a New Interstellar Spacecraft,https://scitechdaily.com/probing-deep-space-with-a-new-interstellar-spacecraft/,2021-04-28 07:01:35
195,"Casbin: An authorization library that supports authz models like ACL, RBAC, ABAC",https://github.com/casbin/casbin,2021-04-28 07:01:15
196,Enabling the WSL to include support for Wayland and X server related scenarios,https://github.com/microsoft/wslg,2021-04-28 07:01:07
